cell_line,reported_sex,DDX3Y_expression,DDX3Y_expression_category,EIF1AY_expression,EIF1AY_expression_category,KDM5D_expression,KDM5D_expression_category,NLGN4Y_expression,NLGN4Y_expression_category,RPS4Y1_expression,RPS4Y1_expression_category,TMSB4Y_expression,TMSB4Y_expression_category,USP9Y_expression,USP9Y_expression_category,UTY_expression,UTY_expression_category,ZFY_expression,ZFY_expression_category
A2780_OVARY,female,26,low_expression,1,low_expression,12,low_expression,88,low_expression,17,low_expression,0,low_expression,7,low_expression,2,low_expression,4,low_expression
A375_SKIN,female,18,low_expression,6,low_expression,1,low_expression,12,low_expression,36,low_expression,2,low_expression,0,low_expression,0,low_expression,1,low_expression
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,18,low_expression,6,low_expression,5,low_expression,0,low_expression,51,low_expression,0,low_expression,11,low_expression,5,low_expression,2,low_expression
A427_LUNG,NA,4125,high_expression,1016,high_expression,1434,high_expression,4,low_expression,5386,high_expression,96,intermediate_expression,487,high_expression,249,high_expression,365,high_expression
A498_KIDNEY,male,8,low_expression,3,low_expression,7,low_expression,0,low_expression,40,low_expression,0,low_expression,2,low_expression,3,low_expression,4,low_expression
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,9,low_expression,6,low_expression,4,low_expression,2,low_expression,48,low_expression,0,low_expression,6,low_expression,4,low_expression,4,low_expression
A549_LUNG,male,18125,high_expression,5287,high_expression,5006,high_expression,887,intermediate_expression,27510,high_expression,191,high_expression,5170,high_expression,1784,high_expression,2704,high_expression
A673_BONE,female,18,low_expression,6,low_expression,0,low_expression,75,low_expression,39,low_expression,0,low_expression,7,low_expression,7,low_expression,4,low_expression
A704_KIDNEY,male,10500,high_expression,7767,high_expression,4639,high_expression,746,intermediate_expression,75193,high_expression,221,high_expression,5462,high_expression,2261,high_expression,3449,high_expression
ABC1_LUNG,male,6,low_expression,6,low_expression,12,low_expression,2,low_expression,26,low_expression,1,low_expression,7,low_expression,2,low_expression,2,low_expression
ACCMESO1_PLEURA,NA,25,low_expression,8,low_expression,14,low_expression,0,low_expression,36,low_expression,2,low_expression,7,low_expression,0,low_expression,4,low_expression
ACHN_KIDNEY,male,12,low_expression,7,low_expression,13,low_expression,0,low_expression,34,low_expression,0,low_expression,3,low_expression,0,low_expression,6,low_expression
AGS_STOMACH,female,17,low_expression,11,low_expression,18,low_expression,3,low_expression,26,low_expression,2,low_expression,14,low_expression,11,low_expression,13,low_expression
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,12004,high_expression,5032,high_expression,7830,high_expression,0,low_expression,28963,high_expression,379,high_expression,6154,high_expression,3036,high_expression,1747,high_expression
AM38_CENTRAL_NERVOUS_SYSTEM,male,9012,high_expression,3243,high_expression,2543,high_expression,480,intermediate_expression,25,low_expression,122,high_expression,2261,high_expression,1173,high_expression,1334,high_expression
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,39,low_expression,4,low_expression,11,low_expression,3,low_expression,122,low_expression,3,low_expression,12,low_expression,9,low_expression,9,low_expression
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,27,low_expression,0,low_expression,5,low_expression,0,low_expression,35,low_expression,2,low_expression,11,low_expression,5,low_expression,5,low_expression
AN3CA_ENDOMETRIUM,female,33,low_expression,2,low_expression,8,low_expression,2,low_expression,58,low_expression,0,low_expression,5,low_expression,9,low_expression,2,low_expression
ASPC1_PANCREAS,female,7,low_expression,0,low_expression,5,low_expression,3,low_expression,34,low_expression,3,low_expression,2,low_expression,0,low_expression,1,low_expression
AU565_BREAST,female,25,low_expression,8,low_expression,5,low_expression,19,low_expression,46,low_expression,0,low_expression,9,low_expression,4,low_expression,5,low_expression
BC3C_URINARY_TRACT,female,25,low_expression,2,low_expression,9,low_expression,68,low_expression,61,low_expression,0,low_expression,6,low_expression,6,low_expression,12,low_expression
BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,29,low_expression,14,low_expression,19,low_expression,4,low_expression,79,low_expression,0,low_expression,13,low_expression,2,low_expression,9,low_expression
BCPAP_THYROID,female,31,low_expression,5,low_expression,16,low_expression,1,low_expression,61,low_expression,3,low_expression,18,low_expression,1,low_expression,4,low_expression
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,27008,high_expression,10104,high_expression,20036,high_expression,2290,high_expression,42283,high_expression,999,high_expression,8269,high_expression,4174,high_expression,3118,high_expression
BEN_LUNG,male,38,low_expression,11,low_expression,18,low_expression,13,low_expression,15113,high_expression,2,low_expression,20,low_expression,9,low_expression,1067,high_expression
BFTC905_URINARY_TRACT,female,18,low_expression,6,low_expression,11,low_expression,2,low_expression,38,low_expression,0,low_expression,6,low_expression,8,low_expression,1,low_expression
BFTC909_KIDNEY,male,30,low_expression,10,low_expression,14,low_expression,4,low_expression,46,low_expression,2,low_expression,4,low_expression,4,low_expression,0,low_expression
BHT101_THYROID,female,42,low_expression,15,low_expression,18,low_expression,0,low_expression,99,low_expression,4,low_expression,9,low_expression,8,low_expression,7,low_expression
BHY_UPPER_AERODIGESTIVE_TRACT,male,9359,high_expression,1133,high_expression,3191,high_expression,29,low_expression,10732,high_expression,173,high_expression,5392,high_expression,2783,high_expression,839,high_expression
BICR16_UPPER_AERODIGESTIVE_TRACT,male,29,low_expression,11,low_expression,14,low_expression,2,low_expression,51,low_expression,1,low_expression,17,low_expression,4,low_expression,0,low_expression
BICR18_UPPER_AERODIGESTIVE_TRACT,male,692,high_expression,1880,high_expression,289,intermediate_expression,0,low_expression,65,low_expression,43,intermediate_expression,833,high_expression,55,low_expression,242,high_expression
BICR22_UPPER_AERODIGESTIVE_TRACT,male,18,low_expression,13,low_expression,9,low_expression,2,low_expression,62,low_expression,0,low_expression,6,low_expression,4,low_expression,3,low_expression
BICR31_UPPER_AERODIGESTIVE_TRACT,male,38,low_expression,8,low_expression,20,low_expression,1,low_expression,86,low_expression,8,low_expression,8,low_expression,7,low_expression,8,low_expression
BICR56_UPPER_AERODIGESTIVE_TRACT,female,33,low_expression,6,low_expression,6,low_expression,0,low_expression,87,low_expression,8,low_expression,13,low_expression,3,low_expression,5,low_expression
BICR6_UPPER_AERODIGESTIVE_TRACT,male,2994,high_expression,1649,high_expression,1017,high_expression,158,low_expression,15075,high_expression,76,intermediate_expression,1523,high_expression,1127,high_expression,597,high_expression
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,17113,high_expression,8313,high_expression,11257,high_expression,0,low_expression,47949,high_expression,202,high_expression,4559,high_expression,2470,high_expression,1436,high_expression
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,27720,high_expression,9414,high_expression,9586,high_expression,0,low_expression,32693,high_expression,158,high_expression,3519,high_expression,2598,high_expression,1641,high_expression
BT12_SOFT_TISSUE,NA,12,low_expression,8,low_expression,8,low_expression,0,low_expression,35,low_expression,0,low_expression,4,low_expression,0,low_expression,6,low_expression
BT20_BREAST,female,16,low_expression,4,low_expression,6,low_expression,2,low_expression,35,low_expression,3,low_expression,2,low_expression,7,low_expression,4,low_expression
BT474_BREAST,female,9,low_expression,7,low_expression,10,low_expression,1,low_expression,10,low_expression,1,low_expression,5,low_expression,2,low_expression,2,low_expression
BT483_BREAST,female,27,low_expression,4,low_expression,14,low_expression,10,low_expression,64,low_expression,4,low_expression,5,low_expression,9,low_expression,8,low_expression
BT549_BREAST,female,37,low_expression,13,low_expression,12,low_expression,4,low_expression,105,low_expression,0,low_expression,5,low_expression,8,low_expression,12,low_expression
BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,24,low_expression,2,low_expression,14,low_expression,2,low_expression,53,low_expression,1,low_expression,2,low_expression,8,low_expression,8,low_expression
BXPC3_PANCREAS,female,24,low_expression,6,low_expression,8,low_expression,1,low_expression,34,low_expression,2,low_expression,6,low_expression,5,low_expression,5,low_expression
C2BBE1_LARGE_INTESTINE,male,20,low_expression,5,low_expression,5,low_expression,5,low_expression,38,low_expression,0,low_expression,10,low_expression,1,low_expression,3,low_expression
C32_SKIN,male,16027,high_expression,3241,high_expression,5033,high_expression,4,low_expression,30095,high_expression,187,high_expression,3453,high_expression,2078,high_expression,2655,high_expression
C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,10269,high_expression,4033,high_expression,7398,high_expression,1002,intermediate_expression,26635,high_expression,207,high_expression,4072,high_expression,2066,high_expression,1766,high_expression
CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,28,low_expression,12,low_expression,19,low_expression,5,low_expression,84,low_expression,0,low_expression,18,low_expression,9,low_expression,7,low_expression
CACO2_LARGE_INTESTINE,NA,21,low_expression,4,low_expression,4,low_expression,0,low_expression,27,low_expression,0,low_expression,8,low_expression,0,low_expression,0,low_expression
CADOES1_BONE,female,29,low_expression,4,low_expression,15,low_expression,658,intermediate_expression,56,low_expression,0,low_expression,15,low_expression,10,low_expression,3,low_expression
CAKI1_KIDNEY,male,12,low_expression,2,low_expression,9,low_expression,0,low_expression,47,low_expression,2,low_expression,4,low_expression,3,low_expression,2,low_expression
CAKI2_KIDNEY,male,19104,high_expression,3108,high_expression,3215,high_expression,1907,high_expression,13727,high_expression,187,high_expression,7746,high_expression,3216,high_expression,2087,high_expression
CAL120_BREAST,female,21,low_expression,7,low_expression,6,low_expression,2,low_expression,18,low_expression,3,low_expression,0,low_expression,2,low_expression,2,low_expression
CAL12T_LUNG,male,245,intermediate_expression,90,low_expression,194,intermediate_expression,4,low_expression,1197,intermediate_expression,47,intermediate_expression,160,intermediate_expression,63,intermediate_expression,53,intermediate_expression
CAL148_BREAST,female,44,low_expression,5,low_expression,21,low_expression,5,low_expression,67,low_expression,1,low_expression,21,low_expression,11,low_expression,10,low_expression
CAL27_UPPER_AERODIGESTIVE_TRACT,male,88,low_expression,35,low_expression,31,low_expression,3,low_expression,106,low_expression,1,low_expression,28,low_expression,14,low_expression,11,low_expression
CAL29_URINARY_TRACT,female,59,low_expression,24,low_expression,46,low_expression,0,low_expression,150,low_expression,1,low_expression,33,low_expression,32,low_expression,8,low_expression
CAL33_UPPER_AERODIGESTIVE_TRACT,male,38631,high_expression,6882,high_expression,14112,high_expression,162,low_expression,62906,high_expression,419,high_expression,18196,high_expression,12936,high_expression,3078,high_expression
CAL51_BREAST,female,15,low_expression,1,low_expression,10,low_expression,16,low_expression,44,low_expression,0,low_expression,16,low_expression,6,low_expression,6,low_expression
CAL54_KIDNEY,male,47,low_expression,10,low_expression,23,low_expression,0,low_expression,62,low_expression,2,low_expression,5,low_expression,3,low_expression,2,low_expression
CAL62_THYROID,female,14,low_expression,8,low_expression,4,low_expression,2,low_expression,24,low_expression,2,low_expression,2,low_expression,2,low_expression,1,low_expression
CAL78_BONE,male,3467,high_expression,3042,high_expression,2969,high_expression,828,intermediate_expression,5167,high_expression,18,low_expression,1738,high_expression,1009,high_expression,534,high_expression
CAL851_BREAST,female,32,low_expression,0,low_expression,18,low_expression,2,low_expression,67,low_expression,0,low_expression,11,low_expression,7,low_expression,6,low_expression
CALU1_LUNG,male,20,low_expression,14,low_expression,12,low_expression,0,low_expression,40,low_expression,0,low_expression,9,low_expression,4,low_expression,2,low_expression
CALU3_LUNG,male,25,low_expression,10,low_expression,13,low_expression,1,low_expression,58,low_expression,5,low_expression,16,low_expression,6,low_expression,9,low_expression
CALU6_LUNG,female,22,low_expression,6,low_expression,17,low_expression,0,low_expression,60,low_expression,5,low_expression,16,low_expression,8,low_expression,8,low_expression
CAMA1_BREAST,female,45,low_expression,1,low_expression,15,low_expression,0,low_expression,64,low_expression,2,low_expression,8,low_expression,9,low_expression,0,low_expression
CAOV3_OVARY,female,28,low_expression,5,low_expression,14,low_expression,0,low_expression,49,low_expression,0,low_expression,4,low_expression,9,low_expression,9,low_expression
CAOV4_OVARY,female,9,low_expression,15,low_expression,6,low_expression,3,low_expression,54,low_expression,0,low_expression,13,low_expression,8,low_expression,6,low_expression
CAPAN1_PANCREAS,male,56,low_expression,24,low_expression,39,low_expression,0,low_expression,153,low_expression,5,low_expression,14,low_expression,9,low_expression,11,low_expression
CAPAN2_PANCREAS,male,45,low_expression,11,low_expression,15,low_expression,3,low_expression,75,low_expression,6,low_expression,11,low_expression,8,low_expression,4,low_expression
CAS1_CENTRAL_NERVOUS_SYSTEM,male,12157,high_expression,3071,high_expression,4880,high_expression,3177,high_expression,22019,high_expression,62,intermediate_expression,6978,high_expression,1812,high_expression,1420,high_expression
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,female,40,low_expression,7,low_expression,7,low_expression,3,low_expression,69,low_expression,1,low_expression,8,low_expression,7,low_expression,7,low_expression
CCK81_LARGE_INTESTINE,NA,10,low_expression,4,low_expression,1,low_expression,0,low_expression,39,low_expression,0,low_expression,2,low_expression,2,low_expression,0,low_expression
CFPAC1_PANCREAS,male,10,low_expression,3,low_expression,7,low_expression,0,low_expression,28529,high_expression,3,low_expression,1760,high_expression,2,low_expression,2904,high_expression
CH157MN_CENTRAL_NERVOUS_SYSTEM,NA,21,low_expression,10,low_expression,3,low_expression,0,low_expression,41,low_expression,0,low_expression,7,low_expression,2,low_expression,2,low_expression
CHAGOK1_LUNG,male,31726,high_expression,5660,high_expression,7668,high_expression,6,low_expression,127318,high_expression,578,high_expression,10,low_expression,10370,high_expression,8301,high_expression
CHP126_AUTONOMIC_GANGLIA,female,29,low_expression,8,low_expression,25,low_expression,62,low_expression,92,low_expression,2,low_expression,13,low_expression,10,low_expression,4,low_expression
CHP212_AUTONOMIC_GANGLIA,NA,26638,high_expression,4154,high_expression,7832,high_expression,2084,high_expression,44830,high_expression,140,high_expression,13382,high_expression,2912,high_expression,2127,high_expression
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,31,low_expression,16,low_expression,28,low_expression,0,low_expression,73,low_expression,8,low_expression,10,low_expression,17,low_expression,12,low_expression
CJM_SKIN,NA,6176,high_expression,6080,high_expression,5458,high_expression,801,intermediate_expression,28131,high_expression,22,low_expression,4483,high_expression,2622,high_expression,2649,high_expression
CL11_LARGE_INTESTINE,NA,8455,high_expression,4621,high_expression,4143,high_expression,0,low_expression,65,low_expression,85,intermediate_expression,5096,high_expression,1980,high_expression,1563,high_expression
CL14_LARGE_INTESTINE,male,64,low_expression,28,low_expression,26,low_expression,3,low_expression,139,low_expression,1,low_expression,16,low_expression,14,low_expression,8,low_expression
CL34_LARGE_INTESTINE,female,49,low_expression,14,low_expression,26,low_expression,2,low_expression,81,low_expression,4,low_expression,9,low_expression,3,low_expression,8,low_expression
CL40_LARGE_INTESTINE,female,27,low_expression,16,low_expression,17,low_expression,0,low_expression,57,low_expression,3,low_expression,12,low_expression,13,low_expression,3,low_expression
CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,20979,high_expression,9270,high_expression,27036,high_expression,8,low_expression,52807,high_expression,640,high_expression,4399,high_expression,4678,high_expression,2517,high_expression
CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,42,low_expression,2,low_expression,8,low_expression,15,low_expression,41,low_expression,2,low_expression,11,low_expression,14,low_expression,2,low_expression
COLO201_LARGE_INTESTINE,male,5028,high_expression,2466,high_expression,3790,high_expression,0,low_expression,59,low_expression,956,high_expression,10,low_expression,1494,high_expression,1,low_expression
COLO320_LARGE_INTESTINE,female,26,low_expression,14,low_expression,17,low_expression,2,low_expression,69,low_expression,1,low_expression,12,low_expression,4,low_expression,11,low_expression
COLO668_LUNG,female,110,low_expression,14,low_expression,36,low_expression,10,low_expression,184,low_expression,0,low_expression,34,low_expression,15,low_expression,6,low_expression
COLO678_LARGE_INTESTINE,male,44,low_expression,16,low_expression,12,low_expression,2,low_expression,56,low_expression,1,low_expression,2,low_expression,2,low_expression,3,low_expression
COLO679_SKIN,female,33,low_expression,6,low_expression,19,low_expression,0,low_expression,66,low_expression,2,low_expression,4,low_expression,11,low_expression,9,low_expression
COLO680N_OESOPHAGUS,female,15,low_expression,2,low_expression,3,low_expression,2,low_expression,26,low_expression,0,low_expression,5,low_expression,4,low_expression,3,low_expression
COLO684_ENDOMETRIUM,female,20,low_expression,12,low_expression,10,low_expression,4,low_expression,43,low_expression,0,low_expression,4,low_expression,11,low_expression,2,low_expression
COLO741_SKIN,female,8,low_expression,4,low_expression,4,low_expression,0,low_expression,37,low_expression,0,low_expression,4,low_expression,6,low_expression,4,low_expression
COLO783_SKIN,female,10,low_expression,0,low_expression,8,low_expression,4,low_expression,40,low_expression,0,low_expression,5,low_expression,2,low_expression,2,low_expression
COLO792_SKIN,male,7432,high_expression,6001,high_expression,6129,high_expression,0,low_expression,68711,high_expression,157,high_expression,32,low_expression,2390,high_expression,1693,high_expression
COLO800_SKIN,male,27255,high_expression,5647,high_expression,8768,high_expression,141,low_expression,79412,high_expression,14,low_expression,4543,high_expression,3376,high_expression,4273,high_expression
COLO829_SKIN,male,41,low_expression,12,low_expression,14,low_expression,3,low_expression,69,low_expression,5,low_expression,9,low_expression,9,low_expression,13,low_expression
CORL105_LUNG,male,11128,high_expression,3645,high_expression,5147,high_expression,184,low_expression,7453,high_expression,158,high_expression,3625,high_expression,1417,high_expression,2093,high_expression
CORL23_LUNG,male,27,low_expression,5,low_expression,5,low_expression,2,low_expression,148,low_expression,1,low_expression,5,low_expression,7,low_expression,2,low_expression
CORL24_LUNG,male,19,low_expression,3,low_expression,9,low_expression,3,low_expression,19,low_expression,1,low_expression,6,low_expression,7,low_expression,8,low_expression
CORL279_LUNG,male,15432,high_expression,76,low_expression,5954,high_expression,666,intermediate_expression,25442,high_expression,297,high_expression,15268,high_expression,3065,high_expression,1517,high_expression
CORL311_LUNG,male,22,low_expression,4,low_expression,5,low_expression,3,low_expression,28,low_expression,0,low_expression,7,low_expression,0,low_expression,1731,high_expression
CORL47_LUNG,male,15468,high_expression,4858,high_expression,7426,high_expression,10,low_expression,91202,high_expression,743,high_expression,7165,high_expression,3026,high_expression,2099,high_expression
CORL88_LUNG,male,39,low_expression,16,low_expression,15,low_expression,1,low_expression,90,low_expression,2,low_expression,26,low_expression,8,low_expression,5,low_expression
CORL95_LUNG,male,7788,high_expression,8389,high_expression,9942,high_expression,2897,high_expression,27267,high_expression,759,high_expression,4831,high_expression,5206,high_expression,3161,high_expression
COV318_OVARY,female,37,low_expression,12,low_expression,23,low_expression,0,low_expression,133,low_expression,5,low_expression,7,low_expression,15,low_expression,6,low_expression
COV362_OVARY,female,26,low_expression,10,low_expression,10,low_expression,55,low_expression,42,low_expression,3,low_expression,4,low_expression,3,low_expression,2,low_expression
COV434_OVARY,female,22,low_expression,1,low_expression,6,low_expression,3,low_expression,38,low_expression,3,low_expression,9,low_expression,0,low_expression,4,low_expression
COV644_OVARY,female,62,low_expression,13,low_expression,25,low_expression,5,low_expression,148,low_expression,0,low_expression,10,low_expression,7,low_expression,5,low_expression
CW2_LARGE_INTESTINE,female,49,low_expression,21,low_expression,32,low_expression,0,low_expression,122,low_expression,4,low_expression,9,low_expression,12,low_expression,2,low_expression
D283MED_CENTRAL_NERVOUS_SYSTEM,male,15667,high_expression,6077,high_expression,9597,high_expression,1755,high_expression,89095,high_expression,272,high_expression,8197,high_expression,3397,high_expression,2238,high_expression
D341MED_CENTRAL_NERVOUS_SYSTEM,male,17865,high_expression,2216,high_expression,7045,high_expression,1683,high_expression,69712,high_expression,231,high_expression,7627,high_expression,2013,high_expression,877,high_expression
DANG_PANCREAS,NA,12,low_expression,4,low_expression,4,low_expression,0,low_expression,30,low_expression,5,low_expression,5,low_expression,4,low_expression,1,low_expression
DAOY_CENTRAL_NERVOUS_SYSTEM,male,51,low_expression,22,low_expression,4207,high_expression,4,low_expression,128,low_expression,0,low_expression,11,low_expression,13,low_expression,6,low_expression
DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,31120,high_expression,15005,high_expression,12671,high_expression,2,low_expression,82914,high_expression,21,low_expression,7781,high_expression,9521,high_expression,3167,high_expression
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM,female,31,low_expression,3,low_expression,12,low_expression,3,low_expression,59,low_expression,4,low_expression,14,low_expression,4,low_expression,5,low_expression
DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,19045,high_expression,21424,high_expression,9878,high_expression,1542,high_expression,58583,high_expression,411,high_expression,11911,high_expression,8536,high_expression,3499,high_expression
DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,7832,high_expression,2566,high_expression,4958,high_expression,0,low_expression,29656,high_expression,201,high_expression,4698,high_expression,2188,high_expression,2151,high_expression
DETROIT562_UPPER_AERODIGESTIVE_TRACT,female,17,low_expression,12,low_expression,12,low_expression,0,low_expression,79,low_expression,2,low_expression,11,low_expression,12,low_expression,5,low_expression
DKMG_CENTRAL_NERVOUS_SYSTEM,female,21,low_expression,3,low_expression,8,low_expression,0,low_expression,68,low_expression,2,low_expression,5,low_expression,12,low_expression,6,low_expression
DM3_FIBROBLAST,male,4976,high_expression,2636,high_expression,1564,high_expression,2084,high_expression,23555,high_expression,1,low_expression,4041,high_expression,818,high_expression,1651,high_expression
DMS114_LUNG,male,1376,high_expression,272,intermediate_expression,358,intermediate_expression,56,low_expression,2720,high_expression,39,intermediate_expression,64,low_expression,306,high_expression,143,intermediate_expression
DMS153_LUNG,male,22,low_expression,7,low_expression,8,low_expression,29,low_expression,17,low_expression,2,low_expression,10,low_expression,1,low_expression,0,low_expression
DMS273_LUNG,female,26,low_expression,4,low_expression,9,low_expression,1,low_expression,39,low_expression,3,low_expression,8,low_expression,5,low_expression,0,low_expression
DMS454_LUNG,male,3897,high_expression,11,low_expression,17,low_expression,571,intermediate_expression,323,low_expression,176,high_expression,1141,high_expression,1244,high_expression,1404,high_expression
DMS53_LUNG,male,21,low_expression,4,low_expression,7,low_expression,2,low_expression,13,low_expression,0,low_expression,0,low_expression,0,low_expression,6,low_expression
DMS79_LUNG,NA,6957,high_expression,2250,high_expression,4645,high_expression,1403,intermediate_expression,9602,high_expression,480,high_expression,7284,high_expression,2303,high_expression,2016,high_expression
DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,4461,high_expression,2288,high_expression,3567,high_expression,18,low_expression,18313,high_expression,335,high_expression,2548,high_expression,1663,high_expression,555,high_expression
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,21517,high_expression,9554,high_expression,13241,high_expression,25,low_expression,60274,high_expression,467,high_expression,4463,high_expression,5402,high_expression,2488,high_expression
DU145_PROSTATE,male,7151,high_expression,2007,high_expression,1586,high_expression,15,low_expression,28481,high_expression,105,high_expression,2431,high_expression,745,high_expression,1814,high_expression
DU4475_BREAST,female,12,low_expression,4,low_expression,7,low_expression,10,low_expression,49,low_expression,0,low_expression,1,low_expression,6,low_expression,0,low_expression
DV90_LUNG,male,53,low_expression,10,low_expression,25,low_expression,4,low_expression,105,low_expression,3,low_expression,19,low_expression,10,low_expression,5,low_expression
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,5,low_expression,4,low_expression,6,low_expression,0,low_expression,41,low_expression,0,low_expression,3,low_expression,2,low_expression,1,low_expression
EBC1_LUNG,male,26,low_expression,3,low_expression,11,low_expression,0,low_expression,62,low_expression,0,low_expression,2,low_expression,6,low_expression,13,low_expression
ECC10_STOMACH,NA,30,low_expression,12,low_expression,5,low_expression,0,low_expression,54,low_expression,0,low_expression,18,low_expression,11,low_expression,2,low_expression
ECC12_STOMACH,male,34867,high_expression,14005,high_expression,39358,high_expression,8014,high_expression,90445,high_expression,926,high_expression,23961,high_expression,11424,high_expression,6712,high_expression
ECGI10_OESOPHAGUS,male,33,low_expression,11,low_expression,8,low_expression,0,low_expression,10706,high_expression,0,low_expression,7,low_expression,8,low_expression,580,high_expression
