"cell_line","reported_sex","XIST_expression_level","XIST_expression","XIST_log_expression","SRY_expression_level","SRY_expression","SRY_log_expression","RPS4Y1_expression_level","RPS4Y1_expression","RPS4Y1_log_expression","ZFY_expression_level","ZFY_expression","ZFY_log_expression","TGIF2LY_expression_level","TGIF2LY_expression","TGIF2LY_log_expression","PCDH11Y_expression_level","PCDH11Y_expression","PCDH11Y_log_expression","TBL1Y_expression_level","TBL1Y_expression","TBL1Y_log_expression","USP9Y_expression_level","USP9Y_expression","USP9Y_log_expression","DDX3Y_expression_level","DDX3Y_expression","DDX3Y_log_expression","UTY_expression_level","UTY_expression","UTY_log_expression","TMSB4Y_expression_level","TMSB4Y_expression","TMSB4Y_log_expression","NLGN4Y_expression_level","NLGN4Y_expression","NLGN4Y_log_expression","KDM5D_expression_level","KDM5D_expression","KDM5D_log_expression","EIF1AY_expression_level","EIF1AY_expression","EIF1AY_log_expression","RPS4Y2_expression_level","RPS4Y2_expression","RPS4Y2_log_expression"
"X769P_KIDNEY",NA,"low_expression",39128,10.5745936022192,"low_expression",0,NA,"low_expression",52,3.95124371858143,"low_expression",0,NA,"low_expression",0,NA,"low_expression",2,0.693147180559945,"low_expression",0,NA,"low_expression",8,2.07944154167984,"low_expression",16,2.77258872223978,"low_expression",4,1.38629436111989,"low_expression",0,NA,"low_expression",0,NA,"low_expression",13,2.56494935746154,"low_expression",3,1.09861228866811,"low_expression",0,NA
"X786O_KIDNEY",NA,"low_expression",14,2.63905732961526,"low_expression",0,NA,"high_expression",44503,10.7033118816123,"high_expression",2911,7.97625194374562,"low_expression",0,NA,"low_expression",1,0,"low_expression",0,NA,"high_expression",6196,8.73165920153676,"high_expression",22972,10.0420313619842,"high_expression",2703,7.90211754627645,"intermediate_expression",57,4.04305126783455,"high_expression",1477,7.29776828253138,"high_expression",4136,8.32748441618826,"high_expression",6492,8.77832592863448,"low_expression",1,0
"X8305C_THYROID",NA,"low_expression",14492,9.58135205201497,"low_expression",0,NA,"low_expression",53,3.97029191355212,"low_expression",3,1.09861228866811,"low_expression",0,NA,"low_expression",0,NA,"low_expression",0,NA,"low_expression",4,1.38629436111989,"low_expression",19,2.94443897916644,"low_expression",6,1.79175946922805,"low_expression",0,NA,"low_expression",2,0.693147180559945,"low_expression",6,1.79175946922805,"low_expression",4,1.38629436111989,"low_expression",0,NA
"X8505C_THYROID",NA,"low_expression",47,3.85014760171006,"low_expression",0,NA,"low_expression",42,3.73766961828337,"low_expression",8,2.07944154167984,"low_expression",0,NA,"low_expression",0,NA,"low_expression",0,NA,"low_expression",4,1.38629436111989,"low_expression",20,2.99573227355399,"low_expression",2,0.693147180559945,"low_expression",0,NA,"low_expression",8,2.07944154167984,"low_expression",10,2.30258509299405,"low_expression",8,2.07944154167984,"low_expression",0,NA
"X8MGBA_CENTRAL_NERVOUS_SYSTEM",NA,"low_expression",188,5.23644196282995,"low_expression",0,NA,"low_expression",36,3.58351893845611,"low_expression",4,1.38629436111989,"low_expression",0,NA,"low_expression",2,0.693147180559945,"low_expression",0,NA,"low_expression",5,1.6094379124341,"low_expression",16,2.77258872223978,"low_expression",0,NA,"low_expression",3,1.09861228866811,"low_expression",14,2.63905732961526,"low_expression",7,1.94591014905531,"low_expression",8,2.07944154167984,"low_expression",0,NA
"A101D_SKIN","male","low_expression",29849,10.3039066174221,"low_expression",0,NA,"low_expression",73,4.29045944114839,"low_expression",6,1.79175946922805,"low_expression",0,NA,"low_expression",2,0.693147180559945,"low_expression",0,NA,"low_expression",12,2.484906649788,"low_expression",22,3.09104245335832,"low_expression",0,NA,"low_expression",0,NA,"intermediate_expression",266,5.5834963087817,"low_expression",4,1.38629436111989,"low_expression",8,2.07944154167984,"low_expression",0,NA
"A1207_CENTRAL_NERVOUS_SYSTEM","female","low_expression",21,3.04452243772342,"low_expression",0,NA,"low_expression",27,3.29583686600433,"low_expression",0,NA,"low_expression",0,NA,"low_expression",2,0.693147180559945,"low_expression",0,NA,"low_expression",7,1.94591014905531,"low_expression",11,2.39789527279837,"low_expression",2,0.693147180559945,"low_expression",0,NA,"low_expression",2,0.693147180559945,"low_expression",7,1.94591014905531,"low_expression",4,1.38629436111989,"low_expression",0,NA
"A172_CENTRAL_NERVOUS_SYSTEM","male","low_expression",38,3.63758615972639,"low_expression",0,NA,"high_expression",29466,10.2909923352673,"high_expression",2506,7.82644313545601,"low_expression",2,0.693147180559945,"low_expression",0,NA,"low_expression",0,NA,"high_expression",6374,8.75998249497728,"high_expression",15374,9.64043304990908,"high_expression",2131,7.66434663209862,"high_expression",168,5.12396397940326,"high_expression",4968,8.51077262361331,"high_expression",5736,8.65451738227946,"high_expression",4977,8.51258257885855,"low_expression",4,1.38629436111989
"A204_SOFT_TISSUE","female","low_expression",27542,10.2234673912871,"low_expression",0,NA,"low_expression",87,4.46590811865458,"low_expression",5,1.6094379124341,"low_expression",0,NA,"low_expression",1,0,"low_expression",2,0.693147180559945,"low_expression",12,2.484906649788,"low_expression",24,3.17805383034795,"low_expression",8,2.07944154167984,"low_expression",0,NA,"low_expression",4,1.38629436111989,"low_expression",20,2.99573227355399,"low_expression",11,2.39789527279837,"low_expression",0,NA
"A2058_SKIN","male","low_expression",47,3.85014760171006,"low_expression",1,0,"high_expression",44513,10.7035365603227,"high_expression",2287,7.73499619402278,"intermediate_expression",5,1.6094379124341,"low_expression",0,NA,"low_expression",0,NA,"high_expression",3244,8.0845624152353,"high_expression",19425,9.87431617523585,"high_expression",1570,7.35883089834235,"intermediate_expression",53,3.97029191355212,"high_expression",1997,7.59940133341582,"high_expression",5592,8.62909228391365,"high_expression",4679,8.45083969086622,"low_expression",5,1.6094379124341
"A253_SALIVARY_GLAND","male","low_expression",63,4.14313472639153,"low_expression",0,NA,"low_expression",49,3.89182029811063,"low_expression",2,0.693147180559945,"low_expression",0,NA,"low_expression",1,0,"low_expression",0,NA,"low_expression",4,1.38629436111989,"low_expression",25,3.2188758248682,"low_expression",3,1.09861228866811,"low_expression",0,NA,"low_expression",0,NA,"low_expression",1,0,"low_expression",0,NA,"low_expression",0,NA
"A2780_OVARY","female","low_expression",37016,10.5191055305868,"low_expression",0,NA,"low_expression",17,2.83321334405622,"low_expression",4,1.38629436111989,"low_expression",0,NA,"low_expression",10,2.30258509299405,"low_expression",0,NA,"low_expression",7,1.94591014905531,"low_expression",26,3.25809653802148,"low_expression",2,0.693147180559945,"low_expression",0,NA,"low_expression",88,4.47733681447821,"low_expression",12,2.484906649788,"low_expression",1,0,"low_expression",0,NA
"A375_SKIN","female","low_expression",29999,10.3089193267554,"low_expression",0,NA,"low_expression",36,3.58351893845611,"low_expression",1,0,"low_expression",0,NA,"low_expression",1,0,"low_expression",0,NA,"low_expression",0,NA,"low_expression",18,2.89037175789616,"low_expression",0,NA,"low_expression",2,0.693147180559945,"low_expression",12,2.484906649788,"low_expression",1,0,"low_expression",6,1.79175946922805,"low_expression",0,NA
"A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","female","low_expression",151368,11.9274692370116,"low_expression",0,NA,"low_expression",51,3.93182563272433,"low_expression",2,0.693147180559945,"low_expression",0,NA,"low_expression",0,NA,"low_expression",0,NA,"low_expression",11,2.39789527279837,"low_expression",18,2.89037175789616,"low_expression",5,1.6094379124341,"low_expression",0,NA,"low_expression",0,NA,"low_expression",5,1.6094379124341,"low_expression",6,1.79175946922805,"low_expression",0,NA
"A427_LUNG",NA,"low_expression",56,4.02535169073515,"low_expression",0,NA,"high_expression",5386,8.59155827337154,"high_expression",365,5.89989735358249,"low_expression",0,NA,"low_expression",0,NA,"low_expression",0,NA,"high_expression",487,6.18826412308259,"high_expression",4125,8.32482129876878,"high_expression",249,5.51745289646471,"intermediate_expression",96,4.56434819146784,"low_expression",4,1.38629436111989,"high_expression",1434,7.26822302115957,"high_expression",1016,6.92362862813843,"low_expression",0,NA
"A498_KIDNEY","male","low_expression",9517,9.16083495207234,"low_expression",0,NA,"low_expression",40,3.68887945411394,"low_expression",4,1.38629436111989,"low_expression",0,NA,"low_expression",0,NA,"low_expression",0,NA,"low_expression",2,0.693147180559945,"low_expression",8,2.07944154167984,"low_expression",3,1.09861228866811,"low_expression",0,NA,"low_expression",0,NA,"low_expression",7,1.94591014905531,"low_expression",3,1.09861228866811,"low_expression",0,NA
"A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","female","low_expression",84017,11.3387744383016,"low_expression",0,NA,"low_expression",48,3.87120101090789,"low_expression",4,1.38629436111989,"low_expression",0,NA,"low_expression",0,NA,"low_expression",0,NA,"low_expression",6,1.79175946922805,"low_expression",9,2.19722457733622,"low_expression",4,1.38629436111989,"low_expression",0,NA,"low_expression",2,0.693147180559945,"low_expression",4,1.38629436111989,"low_expression",6,1.79175946922805,"low_expression",0,NA
"A549_LUNG","male","low_expression",28,3.3322045101752,"intermediate_expression",4,1.38629436111989,"high_expression",27510,10.2223048539186,"high_expression",2704,7.90248743716286,"low_expression",3,1.09861228866811,"low_expression",0,NA,"low_expression",0,NA,"high_expression",5170,8.55062796750248,"high_expression",18125,9.80504747972287,"high_expression",1784,7.48661331313996,"high_expression",191,5.25227342804663,"intermediate_expression",887,6.78784498230958,"high_expression",5006,8.51839247199172,"high_expression",5287,8.57300625623545,"low_expression",3,1.09861228866811
"A673_BONE","female","low_expression",80479,11.2957515598091,"low_expression",0,NA,"low_expression",39,3.66356164612965,"low_expression",4,1.38629436111989,"low_expression",0,NA,"low_expression",11,2.39789527279837,"low_expression",0,NA,"low_expression",7,1.94591014905531,"low_expression",18,2.89037175789616,"low_expression",7,1.94591014905531,"low_expression",0,NA,"low_expression",75,4.31748811353631,"low_expression",0,NA,"low_expression",6,1.79175946922805,"low_expression",0,NA
"A704_KIDNEY","male","low_expression",70,4.24849524204936,"low_expression",0,NA,"high_expression",75193,11.2278134204989,"high_expression",3449,8.14583961293684,"low_expression",0,NA,"low_expression",0,NA,"low_expression",0,NA,"high_expression",5462,8.60557030203365,"high_expression",10500,9.25913053614561,"high_expression",2261,7.72356247227797,"high_expression",221,5.39816270151775,"intermediate_expression",746,6.61472560020376,"high_expression",4639,8.44225410475174,"high_expression",7767,8.95763926841965,"low_expression",4,1.38629436111989
"ABC1_LUNG","male","low_expression",24,3.17805383034795,"low_expression",0,NA,"low_expression",26,3.25809653802148,"low_expression",2,0.693147180559945,"low_expression",0,NA,"low_expression",0,NA,"low_expression",0,NA,"low_expression",7,1.94591014905531,"low_expression",6,1.79175946922805,"low_expression",2,0.693147180559945,"low_expression",1,0,"low_expression",2,0.693147180559945,"low_expression",12,2.484906649788,"low_expression",6,1.79175946922805,"low_expression",0,NA
"ACCMESO1_PLEURA",NA,"low_expression",58087,10.9696971656523,"low_expression",0,NA,"low_expression",36,3.58351893845611,"low_expression",4,1.38629436111989,"low_expression",0,NA,"low_expression",0,NA,"low_expression",0,NA,"low_expression",7,1.94591014905531,"low_expression",25,3.2188758248682,"low_expression",0,NA,"low_expression",2,0.693147180559945,"low_expression",0,NA,"low_expression",14,2.63905732961526,"low_expression",8,2.07944154167984,"low_expression",0,NA
"ACHN_KIDNEY","male","low_expression",30,3.40119738166216,"low_expression",0,NA,"low_expression",34,3.52636052461616,"low_expression",6,1.79175946922805,"low_expression",0,NA,"low_expression",0,NA,"low_expression",0,NA,"low_expression",3,1.09861228866811,"low_expression",12,2.484906649788,"low_expression",0,NA,"low_expression",0,NA,"low_expression",0,NA,"low_expression",13,2.56494935746154,"low_expression",7,1.94591014905531,"low_expression",0,NA
"AGS_STOMACH","female","low_expression",50669,10.8330695627315,"low_expression",1,0,"low_expression",26,3.25809653802148,"low_expression",13,2.56494935746154,"low_expression",0,NA,"low_expression",0,NA,"low_expression",0,NA,"low_expression",14,2.63905732961526,"low_expression",17,2.83321334405622,"low_expression",11,2.39789527279837,"low_expression",2,0.693147180559945,"low_expression",3,1.09861228866811,"low_expression",18,2.89037175789616,"low_expression",11,2.39789527279837,"low_expression",0,NA
"ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","male","low_expression",57,4.04305126783455,"low_expression",1,0,"high_expression",28963,10.2737744322947,"high_expression",1747,7.46565531013406,"low_expression",0,NA,"low_expression",0,NA,"low_expression",0,NA,"high_expression",6154,8.72485755588199,"high_expression",12004,9.39299520656026,"high_expression",3036,8.01829613851552,"high_expression",379,5.93753620508243,"low_expression",0,NA,"high_expression",7830,8.96571778898485,"high_expression",5032,8.52357279838028,"intermediate_expression",10,2.30258509299405
"AM38_CENTRAL_NERVOUS_SYSTEM","male","low_expression",54,3.98898404656427,"low_expression",0,NA,"low_expression",25,3.2188758248682,"high_expression",1334,7.19593722647557,"high_expression",28,3.3322045101752,"low_expression",20,2.99573227355399,"high_expression",11,2.39789527279837,"high_expression",2261,7.72356247227797,"high_expression",9012,9.10631230155214,"high_expression",1173,7.06731984865348,"high_expression",122,4.80402104473326,"intermediate_expression",480,6.17378610390194,"high_expression",2543,7.84109976542212,"high_expression",3243,8.08425410630732,"high_expression",79,4.36944785246702
"AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","female","low_expression",4060,8.30893825259578,"low_expression",0,NA,"low_expression",122,4.80402104473326,"low_expression",9,2.19722457733622,"low_expression",0,NA,"low_expression",1,0,"low_expression",0,NA,"low_expression",12,2.484906649788,"low_expression",39,3.66356164612965,"low_expression",9,2.19722457733622,"low_expression",3,1.09861228866811,"low_expression",3,1.09861228866811,"low_expression",11,2.39789527279837,"low_expression",4,1.38629436111989,"low_expression",0,NA
"AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","female","low_expression",65,4.17438726989564,"low_expression",0,NA,"low_expression",35,3.55534806148941,"low_expression",5,1.6094379124341,"low_expression",0,NA,"low_expression",0,NA,"low_expression",0,NA,"low_expression",11,2.39789527279837,"low_expression",27,3.29583686600433,"low_expression",5,1.6094379124341,"low_expression",2,0.693147180559945,"low_expression",0,NA,"low_expression",5,1.6094379124341,"low_expression",0,NA,"low_expression",0,NA
"AN3CA_ENDOMETRIUM","female","low_expression",432,6.06842558824411,"low_expression",0,NA,"low_expression",58,4.06044301054642,"low_expression",2,0.693147180559945,"low_expression",0,NA,"low_expression",3,1.09861228866811,"low_expression",0,NA,"low_expression",5,1.6094379124341,"low_expression",33,3.49650756146648,"low_expression",9,2.19722457733622,"low_expression",0,NA,"low_expression",2,0.693147180559945,"low_expression",8,2.07944154167984,"low_expression",2,0.693147180559945,"low_expression",0,NA
"ASPC1_PANCREAS","female","low_expression",33,3.49650756146648,"low_expression",0,NA,"low_expression",34,3.52636052461616,"low_expression",1,0,"low_expression",0,NA,"low_expression",0,NA,"low_expression",0,NA,"low_expression",2,0.693147180559945,"low_expression",7,1.94591014905531,"low_expression",0,NA,"low_expression",3,1.09861228866811,"low_expression",3,1.09861228866811,"low_expression",5,1.6094379124341,"low_expression",0,NA,"low_expression",0,NA
"AU565_BREAST","female","low_expression",67585,11.1211413439179,"low_expression",0,NA,"low_expression",46,3.8286413964891,"low_expression",5,1.6094379124341,"low_expression",0,NA,"low_expression",0,NA,"low_expression",0,NA,"low_expression",9,2.19722457733622,"low_expression",25,3.2188758248682,"low_expression",4,1.38629436111989,"low_expression",0,NA,"low_expression",19,2.94443897916644,"low_expression",5,1.6094379124341,"low_expression",8,2.07944154167984,"low_expression",0,NA
"BC3C_URINARY_TRACT","female","low_expression",68,4.21950770517611,"low_expression",0,NA,"low_expression",61,4.11087386417331,"low_expression",12,2.484906649788,"low_expression",0,NA,"low_expression",0,NA,"low_expression",0,NA,"low_expression",6,1.79175946922805,"low_expression",25,3.2188758248682,"low_expression",6,1.79175946922805,"low_expression",0,NA,"low_expression",68,4.21950770517611,"low_expression",9,2.19722457733622,"low_expression",2,0.693147180559945,"low_expression",1,0
"BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","male","low_expression",56,4.02535169073515,"low_expression",0,NA,"low_expression",79,4.36944785246702,"low_expression",9,2.19722457733622,"low_expression",0,NA,"low_expression",0,NA,"low_expression",1,0,"low_expression",13,2.56494935746154,"low_expression",29,3.36729582998647,"low_expression",2,0.693147180559945,"low_expression",0,NA,"low_expression",4,1.38629436111989,"low_expression",19,2.94443897916644,"low_expression",14,2.63905732961526,"low_expression",0,NA
"BCPAP_THYROID","female","low_expression",155,5.04342511691925,"low_expression",0,NA,"low_expression",61,4.11087386417331,"low_expression",4,1.38629436111989,"low_expression",1,0,"low_expression",0,NA,"low_expression",1,0,"low_expression",18,2.89037175789616,"low_expression",31,3.43398720448515,"low_expression",1,0,"low_expression",3,1.09861228866811,"low_expression",1,0,"low_expression",16,2.77258872223978,"low_expression",5,1.6094379124341,"low_expression",0,NA
"BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","male","low_expression",29,3.36729582998647,"low_expression",0,NA,"high_expression",42283,10.6521403930015,"high_expression",3118,8.04494704961772,"low_expression",0,NA,"low_expression",0,NA,"low_expression",0,NA,"high_expression",8269,9.02026886172217,"high_expression",27008,10.2038883973957,"high_expression",4174,8.33663008763715,"high_expression",999,6.90675477864855,"high_expression",2290,7.73630709654828,"high_expression",20036,9.90528593447751,"high_expression",10104,9.22068666403033,"intermediate_expression",12,2.484906649788
"BEN_LUNG","male","low_expression",15288,9.63482348592011,"low_expression",2,0.693147180559945,"high_expression",15113,9.62331057957012,"high_expression",1067,6.97260625130175,"high_expression",16,2.77258872223978,"intermediate_expression",38,3.63758615972639,"low_expression",4,1.38629436111989,"low_expression",20,2.99573227355399,"low_expression",38,3.63758615972639,"low_expression",9,2.19722457733622,"low_expression",2,0.693147180559945,"low_expression",13,2.56494935746154,"low_expression",18,2.89037175789616,"low_expression",11,2.39789527279837,"low_expression",1,0
"BFTC905_URINARY_TRACT","female","low_expression",36,3.58351893845611,"low_expression",0,NA,"low_expression",38,3.63758615972639,"low_expression",1,0,"low_expression",0,NA,"low_expression",1,0,"low_expression",0,NA,"low_expression",6,1.79175946922805,"low_expression",18,2.89037175789616,"low_expression",8,2.07944154167984,"low_expression",0,NA,"low_expression",2,0.693147180559945,"low_expression",11,2.39789527279837,"low_expression",6,1.79175946922805,"low_expression",0,NA
"BFTC909_KIDNEY","male","low_expression",88,4.47733681447821,"low_expression",0,NA,"low_expression",46,3.8286413964891,"low_expression",0,NA,"low_expression",0,NA,"low_expression",0,NA,"low_expression",1,0,"low_expression",4,1.38629436111989,"low_expression",30,3.40119738166216,"low_expression",4,1.38629436111989,"low_expression",2,0.693147180559945,"low_expression",4,1.38629436111989,"low_expression",14,2.63905732961526,"low_expression",10,2.30258509299405,"low_expression",0,NA
"BHT101_THYROID","female","low_expression",68,4.21950770517611,"low_expression",0,NA,"low_expression",99,4.59511985013459,"low_expression",7,1.94591014905531,"low_expression",0,NA,"low_expression",0,NA,"low_expression",0,NA,"low_expression",9,2.19722457733622,"low_expression",42,3.73766961828337,"low_expression",8,2.07944154167984,"low_expression",4,1.38629436111989,"low_expression",0,NA,"low_expression",18,2.89037175789616,"low_expression",15,2.70805020110221,"low_expression",0,NA
"BHY_UPPER_AERODIGESTIVE_TRACT","male","low_expression",46,3.8286413964891,"low_expression",0,NA,"high_expression",10732,9.28098521154551,"high_expression",839,6.73221070646721,"intermediate_expression",5,1.6094379124341,"low_expression",3,1.09861228866811,"low_expression",4,1.38629436111989,"high_expression",5392,8.59267165259214,"high_expression",9359,9.14409372615726,"high_expression",2783,7.93128476152589,"high_expression",173,5.15329159449778,"low_expression",29,3.36729582998647,"high_expression",3191,8.06808962627824,"high_expression",1133,7.03262426102801,"low_expression",4,1.38629436111989
"BICR16_UPPER_AERODIGESTIVE_TRACT","male","low_expression",71,4.26267987704132,"low_expression",0,NA,"low_expression",51,3.93182563272433,"low_expression",0,NA,"low_expression",0,NA,"low_expression",1,0,"low_expression",0,NA,"low_expression",17,2.83321334405622,"low_expression",29,3.36729582998647,"low_expression",4,1.38629436111989,"low_expression",1,0,"low_expression",2,0.693147180559945,"low_expression",14,2.63905732961526,"low_expression",11,2.39789527279837,"low_expression",0,NA
"BICR18_UPPER_AERODIGESTIVE_TRACT","male","low_expression",82,4.40671924726425,"low_expression",0,NA,"low_expression",65,4.17438726989564,"high_expression",242,5.48893772615669,"low_expression",0,NA,"low_expression",5,1.6094379124341,"high_expression",399,5.98896141688986,"high_expression",833,6.72503364216684,"high_expression",692,6.53958595561767,"low_expression",55,4.00733318523247,"intermediate_expression",43,3.76120011569356,"low_expression",0,NA,"intermediate_expression",289,5.66642668811243,"high_expression",1880,7.539027055824,"low_expression",3,1.09861228866811
"BICR22_UPPER_AERODIGESTIVE_TRACT","male","low_expression",79,4.36944785246702,"low_expression",0,NA,"low_expression",62,4.12713438504509,"low_expression",3,1.09861228866811,"low_expression",0,NA,"low_expression",1,0,"low_expression",0,NA,"low_expression",6,1.79175946922805,"low_expression",18,2.89037175789616,"low_expression",4,1.38629436111989,"low_expression",0,NA,"low_expression",2,0.693147180559945,"low_expression",9,2.19722457733622,"low_expression",13,2.56494935746154,"low_expression",0,NA
"BICR31_UPPER_AERODIGESTIVE_TRACT","male","low_expression",98,4.58496747867057,"low_expression",0,NA,"low_expression",86,4.45434729625351,"low_expression",8,2.07944154167984,"low_expression",0,NA,"low_expression",0,NA,"low_expression",0,NA,"low_expression",8,2.07944154167984,"low_expression",38,3.63758615972639,"low_expression",7,1.94591014905531,"low_expression",8,2.07944154167984,"low_expression",1,0,"low_expression",20,2.99573227355399,"low_expression",8,2.07944154167984,"low_expression",0,NA
"BICR56_UPPER_AERODIGESTIVE_TRACT","female","low_expression",34575,10.450886156533,"low_expression",0,NA,"low_expression",87,4.46590811865458,"low_expression",5,1.6094379124341,"low_expression",0,NA,"low_expression",0,NA,"low_expression",0,NA,"low_expression",13,2.56494935746154,"low_expression",33,3.49650756146648,"low_expression",3,1.09861228866811,"low_expression",8,2.07944154167984,"low_expression",0,NA,"low_expression",6,1.79175946922805,"low_expression",6,1.79175946922805,"low_expression",0,NA
