"CCLE_ID","reported_sex","predicted_sex","pathology","scc_inclusive","scc_conservative","XIST_Expression_Level","Y_Expression_Level","Y_Expression_Status","RPS4Y1_Expression_Level","ZFY_Expression_Level","USP9Y_Expression_Level","DDX3Y_Expression_Level","UTY_Expression_Level","KDM5D_Expression_Level","EIF1AY_Expression_Level"
"ACHN_KIDNEY","male",NA,"metastasis","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"AGS_STOMACH","female",NA,"primary","XX","XX","expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","male",NA,"primary","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","expressed","expressed","intermediate","expressed","expressed"
"AM38_CENTRAL_NERVOUS_SYSTEM","male",NA,"primary","XY","XY","not_expressed","expressed","mixed","not_expressed","intermediate","intermediate","expressed","intermediate","intermediate","expressed"
"AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","female",NA,"primary","XXY","XX","expressed","intermediate","mixed","intermediate","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","female",NA,"primary","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"AN3CA_ENDOMETRIUM","female",NA,"metastasis","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"ASPC1_PANCREAS","female",NA,"metastasis","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"AU565_BREAST","female",NA,"metastasis","XX","XX","expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"BC3C_URINARY_TRACT","female",NA,"primary","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","male",NA,"primary","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"BCPAP_THYROID","female",NA,"primary","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","male",NA,"primary","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","expressed","expressed","intermediate","expressed","expressed"
"BEN_LUNG","male",NA,"metastasis","XXY","XX","expressed","intermediate","mixed","expressed","intermediate","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"BFTC905_URINARY_TRACT","female",NA,"primary","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"BFTC909_KIDNEY","male",NA,"primary","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"BHT101_THYROID","female",NA,"metastasis","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"BHY_UPPER_AERODIGESTIVE_TRACT","male",NA,"primary","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","expressed","expressed","intermediate","expressed","expressed"
"BICR16_UPPER_AERODIGESTIVE_TRACT","male",NA,"primary","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"BICR18_UPPER_AERODIGESTIVE_TRACT","male",NA,"primary","XY","X0","not_expressed","intermediate","mixed","not_expressed","intermediate","intermediate","intermediate","not_expressed","intermediate","not_expressed"
"BICR22_UPPER_AERODIGESTIVE_TRACT","male",NA,"metastasis","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"BICR31_UPPER_AERODIGESTIVE_TRACT","male",NA,"primary","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"BICR56_UPPER_AERODIGESTIVE_TRACT","female",NA,"primary","XX","XX","expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"BICR6_UPPER_AERODIGESTIVE_TRACT","male",NA,"primary","XY","X0","not_expressed","intermediate","mixed","expressed","not_expressed","intermediate","intermediate","intermediate","intermediate","intermediate"
"BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","male",NA,"primary","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","expressed","expressed","intermediate","expressed","expressed"
"BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","male",NA,"primary","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","intermediate","expressed","intermediate","expressed","expressed"
"BT12_SOFT_TISSUE","unknown","female",NA,"XX","XX","expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"BT20_BREAST","female",NA,"primary","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"BT474_BREAST","female",NA,"primary","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"BT483_BREAST","female",NA,"primary","XX","XX","expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"BT549_BREAST","female",NA,"primary","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","male",NA,"primary","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"BXPC3_PANCREAS","female",NA,"primary","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"C2BBE1_LARGE_INTESTINE","male",NA,"primary","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"C32_SKIN","male",NA,"primary","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","expressed","expressed","intermediate","expressed","expressed"
"C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","unknown","male",NA,"XY","XY","not_expressed","expressed","mixed","expressed","intermediate","expressed","expressed","intermediate","expressed","expressed"
"CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","male",NA,"metastasis","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CACO2_LARGE_INTESTINE","unknown",NA,NA,"X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CADOES1_BONE","female",NA,"metastasis","XX","XX","expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CAKI1_KIDNEY","male",NA,"metastasis","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CAKI2_KIDNEY","male",NA,"primary","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","expressed","expressed","intermediate","intermediate","expressed"
"CAL120_BREAST","female",NA,"metastasis","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CAL12T_LUNG","male",NA,"primary","XY","X0","not_expressed","intermediate","mixed","expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CAL148_BREAST","female",NA,"metastasis","XX","XX","expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CAL27_UPPER_AERODIGESTIVE_TRACT","male",NA,"primary","XY","X0","not_expressed","intermediate","mixed","intermediate","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CAL29_URINARY_TRACT","female",NA,"primary","XXY","XX","expressed","intermediate","mixed","intermediate","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CAL33_UPPER_AERODIGESTIVE_TRACT","male",NA,"primary","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","expressed","expressed","expressed","expressed","expressed"
"CAL51_BREAST","female",NA,"metastasis","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CAL54_KIDNEY","male",NA,"metastasis","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CAL62_THYROID","female",NA,"primary","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CAL78_BONE","male",NA,"primary","XXY","XY","intermediate","expressed","mixed","expressed","intermediate","intermediate","expressed","intermediate","expressed","expressed"
"CAL851_BREAST","female",NA,"primary","XX","XX","expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CALU1_LUNG","male",NA,"metastasis","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CALU3_LUNG","male",NA,"metastasis","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CALU6_LUNG","female",NA,"primary","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CAMA1_BREAST","female",NA,"metastasis","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CAOV3_OVARY","female",NA,"primary","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CAOV4_OVARY","female",NA,"metastasis","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CAPAN1_PANCREAS","male",NA,"metastasis","XY","X0","not_expressed","intermediate","mixed","intermediate","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CAPAN2_PANCREAS","male",NA,"primary","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CAS1_CENTRAL_NERVOUS_SYSTEM","male",NA,"primary","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","expressed","expressed","intermediate","expressed","expressed"
"CCFSTTG1_CENTRAL_NERVOUS_SYSTEM","female",NA,"primary","XX","XX","expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CCK81_LARGE_INTESTINE","unknown",NA,"primary","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CFPAC1_PANCREAS","male",NA,"metastasis","XY","X0","not_expressed","intermediate","mixed","expressed","intermediate","intermediate","not_expressed","not_expressed","not_expressed","not_expressed"
"CH157MN_CENTRAL_NERVOUS_SYSTEM","unknown",NA,NA,"X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CHAGOK1_LUNG","male",NA,"primary","XY","XY","not_expressed","expressed","mixed","expressed","expressed","not_expressed","expressed","expressed","expressed","expressed"
"CHP126_AUTONOMIC_GANGLIA","female",NA,"primary","XY","X0","not_expressed","intermediate","mixed","intermediate","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CHP212_AUTONOMIC_GANGLIA","unknown","male","primary","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","expressed","expressed","intermediate","expressed","expressed"
"CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","female",NA,"metastasis","XX","XX","expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CJM_SKIN","unknown","male","metastasis","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","intermediate","expressed","intermediate","expressed","expressed"
"CL11_LARGE_INTESTINE","unknown","male","primary","XY","XY","not_expressed","expressed","mixed","not_expressed","intermediate","expressed","expressed","intermediate","intermediate","expressed"
"CL14_LARGE_INTESTINE","male",NA,"primary","XY","X0","not_expressed","intermediate","mixed","intermediate","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CL34_LARGE_INTESTINE","female",NA,"primary","XX","XX","expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CL40_LARGE_INTESTINE","female",NA,"primary","XX","XX","expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","male",NA,"primary","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","intermediate","expressed","intermediate","expressed","expressed"
"CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","female",NA,"primary","XX","XX","expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"COLO201_LARGE_INTESTINE","male",NA,"metastasis","XY","XY","not_expressed","expressed","mixed","not_expressed","not_expressed","not_expressed","expressed","intermediate","intermediate","expressed"
"COLO320_LARGE_INTESTINE","female",NA,"primary","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"COLO668_LUNG","female",NA,"metastasis","XXY","X0","intermediate","intermediate","mixed","intermediate","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"COLO678_LARGE_INTESTINE","male",NA,"metastasis","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"COLO679_SKIN","female",NA,"metastasis","XX","XX","expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"COLO680N_OESOPHAGUS","female",NA,"primary","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"COLO684_ENDOMETRIUM","female",NA,"primary","XX","XX","expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"COLO741_SKIN","female",NA,"metastasis","XX","XX","expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"COLO783_SKIN","female",NA,"metastasis","XX","XX","expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"COLO792_SKIN","male",NA,"metastasis","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","not_expressed","expressed","intermediate","expressed","expressed"
"COLO800_SKIN","male",NA,"primary","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","expressed","expressed","intermediate","expressed","expressed"
"COLO829_SKIN","male",NA,"primary","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CORL105_LUNG","male",NA,"primary","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","intermediate","expressed","intermediate","expressed","expressed"
"CORL23_LUNG","male",NA,"metastasis","XY","X0","not_expressed","intermediate","mixed","intermediate","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CORL24_LUNG","male",NA,"primary","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CORL279_LUNG","male",NA,"metastasis","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","expressed","expressed","intermediate","expressed","intermediate"
"CORL311_LUNG","male",NA,"primary","XY","X0","not_expressed","intermediate","mixed","not_expressed","intermediate","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CORL47_LUNG","male",NA,"primary","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","expressed","expressed","intermediate","expressed","expressed"
"CORL88_LUNG","male",NA,"primary","XY","X0","not_expressed","intermediate","mixed","intermediate","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CORL95_LUNG","male",NA,"primary","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","expressed","expressed","expressed","expressed","expressed"
"COV318_OVARY","female",NA,"primary","XXY","XX","expressed","intermediate","mixed","intermediate","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"COV362_OVARY","female",NA,"primary","XX","XX","expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"COV434_OVARY","female",NA,"primary","XX","XX","expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"COV644_OVARY","female",NA,"primary","XY","X0","not_expressed","intermediate","mixed","intermediate","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"CW2_LARGE_INTESTINE","female",NA,"primary","XY","X0","not_expressed","intermediate","mixed","intermediate","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"D283MED_CENTRAL_NERVOUS_SYSTEM","male",NA,"metastasis","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","expressed","expressed","intermediate","expressed","expressed"
"D341MED_CENTRAL_NERVOUS_SYSTEM","male",NA,"primary","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","expressed","expressed","intermediate","expressed","expressed"
"DANG_PANCREAS","unknown",NA,"primary","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"DAOY_CENTRAL_NERVOUS_SYSTEM","male",NA,"primary","XY","X0","not_expressed","intermediate","mixed","intermediate","not_expressed","not_expressed","not_expressed","not_expressed","expressed","not_expressed"
"DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","male",NA,"primary","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","expressed","expressed","expressed","expressed","expressed"
"DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","male",NA,"metastasis","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","expressed","expressed","expressed","expressed","expressed"
"DBTRG05MG_CENTRAL_NERVOUS_SYSTEM","female",NA,"primary","XX","XX","expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","male",NA,"metastasis","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","expressed","expressed","intermediate","expressed","expressed"
"DETROIT562_UPPER_AERODIGESTIVE_TRACT","female",NA,"metastasis","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"DKMG_CENTRAL_NERVOUS_SYSTEM","female",NA,"primary","XXY","XX","expressed","intermediate","mixed","intermediate","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"DM3_FIBROBLAST","male",NA,"metastasis","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","expressed","expressed","intermediate","intermediate","expressed"
"DMS114_LUNG","male",NA,"primary","XY","X0","not_expressed","intermediate","mixed","expressed","not_expressed","not_expressed","intermediate","not_expressed","not_expressed","intermediate"
"DMS153_LUNG","male",NA,"metastasis","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"DMS273_LUNG","female",NA,"metastasis","XX","XX","expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"DMS454_LUNG","male",NA,"primary","XXY","XX","expressed","intermediate","mixed","intermediate","intermediate","intermediate","expressed","intermediate","not_expressed","not_expressed"
"DMS53_LUNG","male",NA,"primary","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"DMS79_LUNG","unknown","male","primary","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","expressed","expressed","intermediate","expressed","expressed"
"DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","male",NA,"primary","XXY","XY","intermediate","expressed","mixed","expressed","intermediate","intermediate","expressed","intermediate","expressed","expressed"
"DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","male",NA,"metastasis","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","intermediate","expressed","intermediate","expressed","expressed"
"DU145_PROSTATE","male",NA,"metastasis","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","expressed","expressed","intermediate","intermediate","expressed"
"DU4475_BREAST","female",NA,"metastasis","XX","XX","expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"DV90_LUNG","male",NA,"metastasis","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","female",NA,"primary","XX","XX","expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"EBC1_LUNG","male",NA,"primary","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
